show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1614,Movie,Title_1614,Director_225,,United States,"August 22, 2013",2018,NR,119 min,"Anime Series, Horror Movies, Children & Family Movies",Description for Title_1614
s1615,Movie,Title_1615,Director_65,"Actor_545, Actor_581, Actor_38, Actor_656",India,"February 16, 2017",1957,TV-MA,101 min,Action & Adventure,Description for Title_1615
s1616,Movie,Title_1616,Director_118,"Actor_406, Actor_688, Actor_94, Actor_717",France,"May 27, 2021",1953,TV-MA,118 min,Crime TV Shows,Description for Title_1616
s1617,TV Show,Title_1617,Director_230,"Actor_174, Actor_892, Actor_588, Actor_772, Actor_267",United States,"August 02, 2010",1968,PG-13,8 Seasons,"Docuseries, Sci-Fi & Fantasy",Description for Title_1617
s1618,Movie,Title_1618,,Actor_657,Australia,"February 25, 2014",1974,TV-MA,88 min,"Horror Movies, Stand-Up Comedy",Description for Title_1618
s1619,Movie,Title_1619,Director_2,,Italy,"June 16, 2011",2020,TV-14,114 min,"Children & Family Movies, Anime Series, Crime TV Shows",Description for Title_1619
s1620,TV Show,Title_1620,Director_401,"Actor_695, Actor_543",United States,"June 24, 2008",1996,TV-14,5 Seasons,"Action & Adventure, Docuseries, Anime Series",Description for Title_1620
s1621,Movie,Title_1621,Director_295,"Actor_800, Actor_2",Italy,"November 18, 2010",1993,TV-Y7,171 min,Docuseries,Description for Title_1621
s1622,Movie,Title_1622,Director_387,"Actor_890, Actor_775, Actor_658, Actor_898, Actor_614",United States,"June 17, 2015",1978,R,170 min,Documentaries,Description for Title_1622
s1623,Movie,Title_1623,,,Italy,"January 26, 2015",1956,TV-MA,101 min,"Action & Adventure, Documentaries, Thrillers",Description for Title_1623
s1624,TV Show,Title_1624,Director_31,"Actor_78, Actor_24, Actor_609, Actor_564",United States,"August 10, 2011",2006,TV-MA,5 Season,Docuseries,Description for Title_1624
s1625,Movie,Title_1625,Director_179,"Actor_430, Actor_454",United States,"July 08, 2020",2009,TV-MA,122 min,Horror Movies,Description for Title_1625
s1626,TV Show,Title_1626,Director_360,"Actor_296, Actor_614, Actor_643, Actor_93, Actor_486",Japan,"March 21, 2017",1944,TV-14,6 Seasons,"Children & Family Movies, Crime TV Shows",Description for Title_1626
s1627,Movie,Title_1627,Director_479,Actor_946,United Kingdom,"August 01, 2012",2013,TV-14,71 min,"Horror Movies, Documentaries",Description for Title_1627
s1628,Movie,Title_1628,,"Actor_618, Actor_79, Actor_622, Actor_696",Taiwan,"November 29, 2008",1946,PG,92 min,"Documentaries, Romantic Movies",Description for Title_1628
s1629,Movie,Title_1629,,"Actor_26, Actor_632, Actor_795, Actor_688",India,"June 18, 2011",1950,TV-14,138 min,"Anime Series, Children & Family Movies",Description for Title_1629
s1630,Movie,Title_1630,Director_188,,United States,"September 12, 2016",1942,TV-14,168 min,Thrillers,Description for Title_1630
s1631,TV Show,Title_1631,,"Actor_108, Actor_532, Actor_381, Actor_439, Actor_502",United Kingdom,"January 24, 2016",1971,TV-14,1 Season,"Anime Series, Crime TV Shows, Romantic Movies",Description for Title_1631
s1632,Movie,Title_1632,,,India,"February 01, 2021",2012,TV-MA,127 min,"Reality TV, Anime Series, Comedies",Description for Title_1632
s1633,Movie,Title_1633,Director_110,"Actor_291, Actor_551, Actor_179, Actor_699, Actor_971",United States,"September 30, 2020",1961,G,87 min,"Dramas, Stand-Up Comedy",Description for Title_1633
s1634,TV Show,Title_1634,Director_190,Actor_6,South Korea,"July 20, 2019",1968,TV-MA,5 Seasons,Action & Adventure,Description for Title_1634
s1635,TV Show,Title_1635,Director_176,"Actor_151, Actor_410, Actor_756, Actor_278, Actor_597",Mexico,"April 19, 2015",2004,TV-14,1 Seasons,"Children & Family Movies, Anime Series, Horror Movies",Description for Title_1635
s1636,Movie,Title_1636,Director_249,"Actor_247, Actor_831",Brazil,"July 06, 2021",2016,TV-MA,174 min,Horror Movies,Description for Title_1636
s1637,Movie,Title_1637,Director_398,"Actor_222, Actor_673",Nigeria,"February 19, 2009",1972,TV-14,79 min,Romantic Movies,Description for Title_1637
s1638,Movie,Title_1638,Director_386,,United States,"December 08, 2009",1960,TV-G,171 min,"International Movies, Romantic Movies",Description for Title_1638
s1639,TV Show,Title_1639,Director_379,,Spain,"May 08, 2015",2020,TV-MA,5 Seasons,"Romantic Movies, Documentaries",Description for Title_1639
s1640,TV Show,Title_1640,Director_186,"Actor_836, Actor_677, Actor_113, Actor_903",India,"March 20, 2017",2003,TV-14,4 Season,"Crime TV Shows, Docuseries",Description for Title_1640
s1641,Movie,Title_1641,,,Japan,"August 04, 2017",1948,TV-MA,173 min,Romantic Movies,Description for Title_1641
s1642,TV Show,Title_1642,Director_411,"Actor_586, Actor_319, Actor_78, Actor_501, Actor_846",United Kingdom,"February 29, 2020",1978,PG-13,2 Seasons,"Comedies, Reality TV",Description for Title_1642
s1643,Movie,Title_1643,Director_290,Actor_711,Philippines,"January 03, 2015",2012,R,85 min,Romantic Movies,Description for Title_1643
s1644,Movie,Title_1644,Director_248,"Actor_935, Actor_504, Actor_540, Actor_808, Actor_698",Spain,"July 15, 2021",2017,R,92 min,"Documentaries, Action & Adventure, Stand-Up Comedy",Description for Title_1644
s1645,Movie,Title_1645,Director_11,"Actor_416, Actor_48, Actor_954",Egypt,"November 15, 2018",1949,TV-14,101 min,Crime TV Shows,Description for Title_1645
s1646,TV Show,Title_1646,Director_234,"Actor_270, Actor_849, Actor_405",Italy,"September 04, 2020",1998,TV-Y7,8 Season,"Stand-Up Comedy, Horror Movies",Description for Title_1646
s1647,Movie,Title_1647,Director_467,Actor_699,Taiwan,"February 05, 2016",1969,TV-14,169 min,"Reality TV, Horror Movies",Description for Title_1647
s1648,TV Show,Title_1648,,Actor_942,Germany,"September 25, 2012",1958,TV-PG,8 Season,"Comedies, Dramas, Sci-Fi & Fantasy",Description for Title_1648
s1649,TV Show,Title_1649,,"Actor_859, Actor_550, Actor_924, Actor_666, Actor_199",India,"March 16, 2013",1952,R,3 Seasons,Docuseries,Description for Title_1649
s1650,TV Show,Title_1650,,"Actor_162, Actor_114, Actor_173",United States,"January 11, 2021",1956,TV-PG,8 Seasons,Children & Family Movies,Description for Title_1650
s1651,Movie,Title_1651,Director_2,"Actor_529, Actor_528, Actor_752, Actor_303",India,"November 07, 2010",1971,TV-MA,90 min,Dramas,Description for Title_1651
s1652,Movie,Title_1652,Director_412,,United States,"January 27, 2008",1947,TV-14,122 min,"Romantic Movies, Action & Adventure",Description for Title_1652
s1653,Movie,Title_1653,Director_139,Actor_633,United Kingdom,"January 27, 2015",1953,TV-MA,127 min,"Dramas, Crime TV Shows",Description for Title_1653
s1654,Movie,Title_1654,Director_204,,United Kingdom,"November 18, 2010",2002,TV-14,115 min,International Movies,Description for Title_1654
s1655,Movie,Title_1655,Director_207,"Actor_790, Actor_850",United Kingdom,"August 01, 2012",1977,TV-PG,71 min,"Horror Movies, International Movies, Sci-Fi & Fantasy",Description for Title_1655
s1656,TV Show,Title_1656,,"Actor_276, Actor_907, Actor_865, Actor_171, Actor_702",Nigeria,"May 13, 2016",1976,TV-MA,9 Seasons,Children & Family Movies,Description for Title_1656
s1657,Movie,Title_1657,,"Actor_747, Actor_489, Actor_89, Actor_895, Actor_69",Thailand,"July 16, 2012",2008,R,92 min,"Thrillers, Romantic Movies, International Movies",Description for Title_1657
s1658,Movie,Title_1658,Director_293,"Actor_17, Actor_637",United States,"December 18, 2020",2020,TV-Y,67 min,"International Movies, Anime Series, Comedies",Description for Title_1658
s1659,Movie,Title_1659,Director_98,"Actor_993, Actor_529, Actor_270",India,"October 26, 2018",2018,TV-14,121 min,"Documentaries, Comedies, Children & Family Movies",Description for Title_1659
s1660,Movie,Title_1660,,,India,"September 23, 2016",2004,TV-MA,172 min,"Horror Movies, Dramas, Docuseries",Description for Title_1660
s1661,Movie,Title_1661,Director_80,,India,"October 07, 2012",1981,TV-Y,139 min,"Anime Series, International Movies",Description for Title_1661
s1662,Movie,Title_1662,Director_55,"Actor_227, Actor_519, Actor_466",Australia,"March 11, 2019",1972,R,74 min,"Comedies, Docuseries, Anime Series",Description for Title_1662
s1663,TV Show,Title_1663,Director_413,,United Kingdom,"April 30, 2019",1978,TV-MA,9 Seasons,Reality TV,Description for Title_1663
s1664,Movie,Title_1664,Director_26,,Canada,"November 05, 2016",1946,TV-14,111 min,"Reality TV, Crime TV Shows",Description for Title_1664
s1665,TV Show,Title_1665,Director_129,"Actor_249, Actor_138, Actor_189, Actor_328",Brazil,"September 10, 2012",1945,R,4 Seasons,Documentaries,Description for Title_1665
s1666,TV Show,Title_1666,Director_447,"Actor_546, Actor_710, Actor_476, Actor_800",Germany,"October 01, 2016",1967,TV-PG,6 Seasons,International Movies,Description for Title_1666
s1667,Movie,Title_1667,Director_51,"Actor_566, Actor_520",United States,"February 13, 2017",1965,TV-PG,127 min,"International Movies, Reality TV, Comedies",Description for Title_1667
s1668,TV Show,Title_1668,,"Actor_960, Actor_712, Actor_755, Actor_589, Actor_794",Spain,"March 01, 2017",1980,TV-PG,4 Seasons,Stand-Up Comedy,Description for Title_1668
s1669,Movie,Title_1669,Director_466,"Actor_927, Actor_990",India,"June 09, 2013",1997,PG-13,77 min,Documentaries,Description for Title_1669
s1670,TV Show,Title_1670,,"Actor_267, Actor_847, Actor_188",United States,"September 14, 2017",1995,TV-14,8 Seasons,"Docuseries, Sci-Fi & Fantasy, Action & Adventure",Description for Title_1670
s1671,Movie,Title_1671,Director_79,Actor_516,United States,"December 02, 2009",1979,R,132 min,"Anime Series, International Movies",Description for Title_1671
s1672,TV Show,Title_1672,Director_475,Actor_228,United Kingdom,"December 25, 2011",1995,UR,6 Seasons,International Movies,Description for Title_1672
s1673,TV Show,Title_1673,Director_431,"Actor_166, Actor_195, Actor_589, Actor_795, Actor_188",India,"May 14, 2018",1960,TV-14,7 Seasons,"Horror Movies, Stand-Up Comedy",Description for Title_1673
s1674,TV Show,Title_1674,Director_102,,United States,"October 07, 2014",1967,PG-13,8 Seasons,"International Movies, Documentaries",Description for Title_1674
s1675,TV Show,Title_1675,Director_357,"Actor_106, Actor_164, Actor_563, Actor_92, Actor_17",South Korea,"September 23, 2021",1993,TV-MA,3 Seasons,"International Movies, Children & Family Movies, Thrillers",Description for Title_1675
s1676,Movie,Title_1676,,"Actor_304, Actor_245",Mexico,"August 31, 2019",2016,TV-14,176 min,Docuseries,Description for Title_1676
s1677,Movie,Title_1677,Director_125,Actor_472,United States,"May 02, 2016",2002,TV-G,141 min,"Comedies, International Movies",Description for Title_1677
s1678,Movie,Title_1678,Director_344,,United States,"August 19, 2018",2008,TV-MA,144 min,"Thrillers, Comedies, Children & Family Movies",Description for Title_1678
s1679,Movie,Title_1679,,"Actor_749, Actor_963, Actor_328",Italy,"January 19, 2016",1963,TV-MA,108 min,International Movies,Description for Title_1679
s1680,TV Show,Title_1680,Director_383,"Actor_449, Actor_635, Actor_451",United States,"December 25, 2012",1958,TV-14,7 Seasons,"Documentaries, Docuseries",Description for Title_1680
s1681,Movie,Title_1681,Director_412,Actor_367,Argentina,"September 03, 2015",1952,TV-14,172 min,International Movies,Description for Title_1681
s1682,TV Show,Title_1682,,"Actor_60, Actor_230, Actor_650, Actor_765",France,"May 23, 2018",1980,R,3 Seasons,"Docuseries, Crime TV Shows, Comedies",Description for Title_1682
s1683,Movie,Title_1683,,,United States,"September 29, 2014",2002,TV-MA,104 min,Action & Adventure,Description for Title_1683
s1684,TV Show,Title_1684,Director_482,"Actor_789, Actor_545, Actor_120, Actor_884",United States,"March 25, 2017",1990,TV-MA,9 Seasons,"Anime Series, Documentaries, Crime TV Shows",Description for Title_1684
s1685,Movie,Title_1685,,"Actor_985, Actor_962, Actor_36, Actor_269, Actor_130",United States,"December 01, 2008",2002,TV-14,153 min,Dramas,Description for Title_1685
s1686,TV Show,Title_1686,Director_146,,United States,"April 08, 2013",1953,TV-PG,6 Seasons,Action & Adventure,Description for Title_1686
s1687,TV Show,Title_1687,Director_255,"Actor_164, Actor_551",United States,"August 16, 2021",1954,TV-PG,6 Seasons,"Anime Series, Reality TV",Description for Title_1687
s1688,Movie,Title_1688,Director_187,,France,"July 27, 2018",1999,TV-PG,97 min,Crime TV Shows,Description for Title_1688
s1689,Movie,Title_1689,Director_436,"Actor_156, Actor_724, Actor_652, Actor_272",United States,"August 20, 2015",1952,TV-PG,161 min,Reality TV,Description for Title_1689
s1690,TV Show,Title_1690,Director_167,"Actor_604, Actor_528",United Kingdom,"April 18, 2019",2005,TV-MA,6 Seasons,"Horror Movies, Crime TV Shows",Description for Title_1690
s1691,Movie,Title_1691,Director_83,"Actor_365, Actor_514, Actor_109",Canada,"November 15, 2017",1972,PG-13,169 min,Documentaries,Description for Title_1691
s1692,Movie,Title_1692,Director_396,"Actor_345, Actor_723",United States,"March 20, 2012",1952,TV-MA,70 min,Stand-Up Comedy,Description for Title_1692
s1693,Movie,Title_1693,Director_347,Actor_699,United States,"July 28, 2009",1984,TV-MA,107 min,Thrillers,Description for Title_1693
s1694,Movie,Title_1694,Director_188,"Actor_620, Actor_738",United States,"August 08, 2008",1977,PG-13,145 min,Children & Family Movies,Description for Title_1694
s1695,Movie,Title_1695,,Actor_739,United States,"June 23, 2021",1943,TV-MA,119 min,International Movies,Description for Title_1695
s1696,Movie,Title_1696,Director_489,"Actor_761, Actor_674, Actor_214, Actor_904",Spain,"July 06, 2013",2002,TV-14,110 min,"Thrillers, Docuseries, Dramas",Description for Title_1696
s1697,Movie,Title_1697,,"Actor_232, Actor_611",United States,"March 26, 2015",1977,TV-14,98 min,"International Movies, Romantic Movies, Comedies",Description for Title_1697
s1698,Movie,Title_1698,Director_165,"Actor_556, Actor_192",Australia,"January 23, 2010",2019,TV-PG,65 min,"Children & Family Movies, Docuseries, Comedies",Description for Title_1698
s1699,TV Show,Title_1699,Director_190,"Actor_761, Actor_118",India,"October 17, 2010",1990,TV-14,9 Seasons,"Reality TV, Dramas, Sci-Fi & Fantasy",Description for Title_1699
s1700,Movie,Title_1700,Director_390,,India,"January 28, 2012",1968,UR,60 min,"Stand-Up Comedy, Thrillers, International Movies",Description for Title_1700
s1701,TV Show,Title_1701,Director_300,"Actor_948, Actor_808, Actor_542, Actor_52, Actor_656",United Kingdom,"May 15, 2013",1953,TV-14,6 Seasons,"Crime TV Shows, Reality TV",Description for Title_1701
s1702,Movie,Title_1702,Director_364,Actor_422,Spain,"July 15, 2017",1999,R,104 min,Reality TV,Description for Title_1702
s1703,Movie,Title_1703,,Actor_966,United States,"March 13, 2009",1947,TV-Y,67 min,"Thrillers, Docuseries",Description for Title_1703
s1704,Movie,Title_1704,Director_322,"Actor_543, Actor_570, Actor_286",United States,"April 23, 2009",1985,R,93 min,Action & Adventure,Description for Title_1704
s1705,Movie,Title_1705,,,Canada,"February 21, 2010",1988,TV-PG,139 min,"International Movies, Stand-Up Comedy, Sci-Fi & Fantasy",Description for Title_1705
s1706,Movie,Title_1706,Director_201,"Actor_610, Actor_994",United States,"May 30, 2019",1964,TV-PG,142 min,"Action & Adventure, Stand-Up Comedy, Children & Family Movies",Description for Title_1706
s1707,Movie,Title_1707,Director_98,Actor_364,India,"October 21, 2020",2015,TV-14,67 min,"Thrillers, International Movies",Description for Title_1707
s1708,Movie,Title_1708,,"Actor_59, Actor_761, Actor_416",Japan,"August 07, 2008",2017,PG,71 min,Documentaries,Description for Title_1708
s1709,Movie,Title_1709,,"Actor_68, Actor_764, Actor_232, Actor_210",United Kingdom,"October 24, 2010",1967,TV-MA,102 min,Stand-Up Comedy,Description for Title_1709
s1710,Movie,Title_1710,Director_43,"Actor_677, Actor_238, Actor_541",France,"October 16, 2008",1948,TV-Y,164 min,"Horror Movies, Children & Family Movies",Description for Title_1710
s1711,Movie,Title_1711,,"Actor_214, Actor_41, Actor_68, Actor_217, Actor_144",United Kingdom,"January 14, 2009",1973,TV-PG,115 min,"Documentaries, Anime Series, Reality TV",Description for Title_1711
s1712,Movie,Title_1712,,,Spain,"November 17, 2018",1974,PG,90 min,"Docuseries, Stand-Up Comedy",Description for Title_1712
s1713,TV Show,Title_1713,Director_339,"Actor_872, Actor_252, Actor_859, Actor_616, Actor_931",South Korea,"October 22, 2015",1961,TV-MA,1 Seasons,Documentaries,Description for Title_1713
s1714,Movie,Title_1714,Director_348,,United Kingdom,"October 10, 2011",2010,TV-Y,150 min,Anime Series,Description for Title_1714
s1715,Movie,Title_1715,Director_219,"Actor_495, Actor_16",Japan,"May 12, 2013",1993,TV-MA,147 min,"Thrillers, International Movies",Description for Title_1715
s1716,TV Show,Title_1716,Director_364,,Turkey,"October 28, 2013",1983,PG-13,1 Seasons,Thrillers,Description for Title_1716
s1717,Movie,Title_1717,Director_44,"Actor_352, Actor_418, Actor_340, Actor_30",India,"March 06, 2008",1942,TV-14,63 min,"Sci-Fi & Fantasy, Crime TV Shows",Description for Title_1717
s1718,TV Show,Title_1718,,,India,"December 23, 2013",2004,R,7 Seasons,Docuseries,Description for Title_1718
s1719,TV Show,Title_1719,Director_272,,Mexico,"April 21, 2020",1948,R,8 Seasons,"Romantic Movies, Horror Movies, Sci-Fi & Fantasy",Description for Title_1719
s1720,Movie,Title_1720,,Actor_61,Canada,"May 02, 2018",1999,TV-MA,117 min,Action & Adventure,Description for Title_1720
s1721,Movie,Title_1721,Director_129,Actor_130,United States,"February 29, 2020",1991,TV-PG,107 min,Sci-Fi & Fantasy,Description for Title_1721
s1722,Movie,Title_1722,,"Actor_693, Actor_124, Actor_57, Actor_483",Taiwan,"September 24, 2018",1975,TV-MA,179 min,Comedies,Description for Title_1722
s1723,Movie,Title_1723,Director_156,Actor_658,United States,"February 16, 2010",1992,TV-PG,60 min,"Thrillers, Stand-Up Comedy, Horror Movies",Description for Title_1723
s1724,Movie,Title_1724,Director_451,Actor_325,Mexico,"January 10, 2015",1951,PG-13,164 min,"Stand-Up Comedy, Docuseries",Description for Title_1724
s1725,TV Show,Title_1725,Director_161,"Actor_495, Actor_116",Mexico,"March 18, 2013",1967,TV-MA,9 Seasons,"Anime Series, International Movies",Description for Title_1725
s1726,Movie,Title_1726,,"Actor_896, Actor_709, Actor_305, Actor_330, Actor_289",Egypt,"July 24, 2015",1973,TV-PG,68 min,Reality TV,Description for Title_1726
s1727,Movie,Title_1727,Director_315,"Actor_523, Actor_202, Actor_77, Actor_202, Actor_671",United States,"July 18, 2018",1983,TV-PG,65 min,"Action & Adventure, Children & Family Movies, Romantic Movies",Description for Title_1727
s1728,TV Show,Title_1728,Director_126,"Actor_344, Actor_691, Actor_863, Actor_62, Actor_149",Canada,"March 19, 2008",2003,TV-14,6 Seasons,"International Movies, Children & Family Movies",Description for Title_1728
s1729,TV Show,Title_1729,,"Actor_988, Actor_592",India,"April 30, 2012",1953,G,3 Seasons,"Dramas, Docuseries, Comedies",Description for Title_1729
s1730,Movie,Title_1730,Director_482,"Actor_724, Actor_428, Actor_844",United States,"December 02, 2013",1981,TV-PG,75 min,"Comedies, Horror Movies",Description for Title_1730
s1731,Movie,Title_1731,Director_290,"Actor_916, Actor_6, Actor_260",United States,"September 12, 2010",2019,TV-MA,61 min,"Crime TV Shows, Romantic Movies",Description for Title_1731
s1732,Movie,Title_1732,Director_316,"Actor_316, Actor_218, Actor_352, Actor_922",Canada,"January 25, 2012",1975,TV-MA,95 min,"Children & Family Movies, Sci-Fi & Fantasy",Description for Title_1732
s1733,Movie,Title_1733,Director_303,,United Kingdom,"March 05, 2015",2011,TV-PG,164 min,"Reality TV, Docuseries",Description for Title_1733
s1734,Movie,Title_1734,,Actor_841,United States,"August 22, 2010",1968,TV-14,130 min,Comedies,Description for Title_1734
s1735,Movie,Title_1735,,,France,"December 22, 2014",1949,TV-MA,94 min,"Reality TV, International Movies",Description for Title_1735
s1736,TV Show,Title_1736,,Actor_22,Spain,"April 08, 2010",1988,TV-MA,8 Seasons,"Sci-Fi & Fantasy, Documentaries",Description for Title_1736
s1737,Movie,Title_1737,Director_149,Actor_416,Mexico,"September 08, 2016",1967,TV-PG,124 min,"Romantic Movies, Horror Movies",Description for Title_1737
s1738,Movie,Title_1738,Director_16,"Actor_79, Actor_321, Actor_283, Actor_146, Actor_78",Taiwan,"April 27, 2015",1998,TV-PG,167 min,Anime Series,Description for Title_1738
s1739,Movie,Title_1739,Director_360,Actor_561,India,"September 14, 2012",1948,TV-MA,60 min,"Anime Series, Crime TV Shows",Description for Title_1739
s1740,Movie,Title_1740,,"Actor_133, Actor_65, Actor_944",Egypt,"August 29, 2014",1967,TV-PG,164 min,Dramas,Description for Title_1740
s1741,TV Show,Title_1741,,"Actor_992, Actor_111, Actor_811",Brazil,"May 13, 2011",2000,G,9 Seasons,Docuseries,Description for Title_1741
s1742,TV Show,Title_1742,Director_438,,United States,"August 07, 2014",2010,NC-17,3 Seasons,Children & Family Movies,Description for Title_1742
s1743,TV Show,Title_1743,Director_254,"Actor_875, Actor_341, Actor_109",United States,"May 06, 2018",1988,TV-Y,7 Seasons,"Comedies, Action & Adventure",Description for Title_1743
s1744,Movie,Title_1744,,"Actor_530, Actor_827",India,"January 14, 2013",1976,PG,106 min,"Documentaries, Action & Adventure",Description for Title_1744
s1745,Movie,Title_1745,Director_18,,India,"May 12, 2009",1971,TV-MA,115 min,"Documentaries, Anime Series",Description for Title_1745
s1746,Movie,Title_1746,,"Actor_452, Actor_688, Actor_763, Actor_993, Actor_599",Canada,"June 20, 2009",1991,TV-MA,147 min,"Reality TV, Thrillers",Description for Title_1746
s1747,Movie,Title_1747,,Actor_940,Canada,"January 18, 2017",1965,TV-14,60 min,"Stand-Up Comedy, Comedies, Documentaries",Description for Title_1747
s1748,Movie,Title_1748,Director_266,,Mexico,"March 10, 2011",1971,TV-PG,161 min,Children & Family Movies,Description for Title_1748
s1749,TV Show,Title_1749,Director_144,"Actor_148, Actor_225",United Kingdom,"May 25, 2013",1995,PG,6 Seasons,"Horror Movies, Action & Adventure",Description for Title_1749
s1750,Movie,Title_1750,,"Actor_354, Actor_710, Actor_340, Actor_990, Actor_379",United States,"August 28, 2017",2008,TV-MA,134 min,"Dramas, Action & Adventure, Stand-Up Comedy",Description for Title_1750
s1751,Movie,Title_1751,Director_55,Actor_968,Brazil,"October 26, 2008",1973,TV-14,172 min,"Romantic Movies, Reality TV",Description for Title_1751
s1752,Movie,Title_1752,,"Actor_738, Actor_150",United States,"July 14, 2014",1949,R,126 min,"Romantic Movies, International Movies",Description for Title_1752
s1753,Movie,Title_1753,Director_289,,Nigeria,"January 16, 2020",1991,TV-14,71 min,"Dramas, Children & Family Movies, Romantic Movies",Description for Title_1753
s1754,Movie,Title_1754,Director_455,Actor_203,United States,"November 07, 2018",1988,TV-14,79 min,Docuseries,Description for Title_1754
s1755,TV Show,Title_1755,Director_318,Actor_879,Egypt,"October 31, 2020",1987,TV-MA,7 Seasons,Crime TV Shows,Description for Title_1755
s1756,TV Show,Title_1756,Director_48,"Actor_29, Actor_728",United States,"June 03, 2019",2021,NR,2 Seasons,"Horror Movies, Dramas, Anime Series",Description for Title_1756
s1757,TV Show,Title_1757,Director_47,,United States,"July 26, 2018",1976,TV-14,1 Seasons,Action & Adventure,Description for Title_1757
s1758,Movie,Title_1758,Director_422,"Actor_674, Actor_619",United States,"July 02, 2010",2002,TV-PG,168 min,"Stand-Up Comedy, Crime TV Shows",Description for Title_1758
s1759,Movie,Title_1759,,"Actor_71, Actor_685, Actor_816, Actor_969, Actor_800",South Korea,"May 07, 2021",2020,TV-MA,88 min,"Romantic Movies, Crime TV Shows, Horror Movies",Description for Title_1759
s1760,Movie,Title_1760,Director_275,"Actor_888, Actor_169",Brazil,"February 12, 2018",1992,TV-PG,147 min,Sci-Fi & Fantasy,Description for Title_1760
s1761,Movie,Title_1761,Director_84,"Actor_267, Actor_766",India,"July 09, 2010",2004,TV-MA,63 min,"Horror Movies, International Movies",Description for Title_1761
s1762,TV Show,Title_1762,Director_376,"Actor_957, Actor_702",Thailand,"March 03, 2012",1949,TV-MA,2 Seasons,"Sci-Fi & Fantasy, Anime Series, Horror Movies",Description for Title_1762
s1763,Movie,Title_1763,,"Actor_969, Actor_331, Actor_540, Actor_538",Canada,"October 15, 2012",1975,TV-MA,63 min,"Dramas, Romantic Movies",Description for Title_1763
s1764,Movie,Title_1764,,"Actor_600, Actor_677",France,"November 26, 2017",1966,TV-MA,64 min,"Stand-Up Comedy, Romantic Movies, Dramas",Description for Title_1764
s1765,Movie,Title_1765,Director_476,"Actor_543, Actor_466, Actor_602, Actor_128",Italy,"May 24, 2015",1985,TV-PG,142 min,"Sci-Fi & Fantasy, Dramas, Action & Adventure",Description for Title_1765
s1766,Movie,Title_1766,,"Actor_437, Actor_496, Actor_690, Actor_997",United States,"October 02, 2010",1984,TV-14,164 min,"Dramas, Comedies",Description for Title_1766
s1767,TV Show,Title_1767,,"Actor_347, Actor_467",India,"August 28, 2012",1991,TV-Y,7 Seasons,"Action & Adventure, Comedies",Description for Title_1767
s1768,Movie,Title_1768,Director_426,,Taiwan,"January 15, 2017",1954,TV-MA,90 min,"Thrillers, International Movies, Crime TV Shows",Description for Title_1768
s1769,Movie,Title_1769,,"Actor_173, Actor_768",Taiwan,"March 14, 2010",1987,TV-MA,66 min,"Reality TV, Children & Family Movies, Anime Series",Description for Title_1769
s1770,Movie,Title_1770,,Actor_513,Nigeria,"March 20, 2017",2017,TV-Y,71 min,Comedies,Description for Title_1770
s1771,Movie,Title_1771,Director_285,Actor_924,Taiwan,"December 02, 2015",2020,TV-MA,69 min,"Thrillers, Documentaries",Description for Title_1771
s1772,TV Show,Title_1772,Director_232,,United States,"July 30, 2017",1994,TV-MA,4 Seasons,Reality TV,Description for Title_1772
s1773,TV Show,Title_1773,Director_94,Actor_467,Germany,"August 07, 2021",2004,TV-MA,7 Seasons,"Crime TV Shows, Thrillers, Romantic Movies",Description for Title_1773
s1774,TV Show,Title_1774,Director_245,,India,"August 28, 2016",1943,PG,9 Seasons,"Stand-Up Comedy, Romantic Movies",Description for Title_1774
s1775,TV Show,Title_1775,Director_159,"Actor_419, Actor_632, Actor_781, Actor_712, Actor_727",Philippines,"April 24, 2008",1981,PG,8 Seasons,Children & Family Movies,Description for Title_1775
s1776,Movie,Title_1776,Director_325,"Actor_570, Actor_495, Actor_214, Actor_446, Actor_244",United Kingdom,"February 11, 2017",1964,TV-14,60 min,"Reality TV, Documentaries, Horror Movies",Description for Title_1776
s1777,Movie,Title_1777,Director_59,"Actor_134, Actor_16, Actor_571, Actor_791, Actor_935",Canada,"March 26, 2020",2000,R,80 min,"Docuseries, Reality TV",Description for Title_1777
s1778,Movie,Title_1778,Director_391,"Actor_457, Actor_774, Actor_644",United Kingdom,"July 16, 2021",2010,TV-PG,103 min,Children & Family Movies,Description for Title_1778
s1779,Movie,Title_1779,Director_390,"Actor_426, Actor_910, Actor_771, Actor_19, Actor_475",United States,"November 07, 2013",1975,TV-Y7,159 min,Reality TV,Description for Title_1779
s1780,TV Show,Title_1780,Director_314,"Actor_450, Actor_911",United States,"April 14, 2021",2015,TV-MA,5 Seasons,"Children & Family Movies, Thrillers",Description for Title_1780
s1781,Movie,Title_1781,Director_356,Actor_55,Taiwan,"January 31, 2008",1968,PG,73 min,"International Movies, Stand-Up Comedy, Dramas",Description for Title_1781
s1782,TV Show,Title_1782,Director_351,Actor_580,Germany,"December 10, 2012",1996,TV-MA,1 Seasons,"Comedies, Reality TV, Crime TV Shows",Description for Title_1782
s1783,Movie,Title_1783,Director_337,Actor_410,United States,"October 09, 2017",1945,TV-14,170 min,"Stand-Up Comedy, Crime TV Shows, Sci-Fi & Fantasy",Description for Title_1783
s1784,Movie,Title_1784,Director_81,Actor_947,Australia,"December 07, 2011",2009,TV-MA,103 min,Documentaries,Description for Title_1784
